s	p	o
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_79435
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/227240
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/606202
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/606574
http://lod.nbrp/Medaka/MT144	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/609721
http://lod.nbrp/Medaka/MT144	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/617205
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_93270
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_93271
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/603297
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/613091
http://lod.nbrp/Medaka/MT20	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/616602
http://lod.nbrp/Medaka/MT20	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/600470
http://lod.nbrp/Medaka/MT20	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/618736
http://lod.nbrp/Medaka/MT291	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/602410
http://lod.nbrp/Medaka/MT291	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/617333
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_181
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/305100
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/300451
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/313500
