s	p	o
http://example.org/cosine_index_between_337_and_Orphanet_2075	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_337_and_Orphanet_280	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_337_and_Orphanet_2869	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_337_and_Orphanet_3376	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_337_and_Orphanet_349	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_337_and_Orphanet_818	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_337_and_Orphanet_887	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_374_and_Orphanet_1068	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_374_and_Orphanet_115	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_374_and_Orphanet_1259	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_374_and_Orphanet_1571	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
http://example.org/cosine_index_between_374_and_Orphanet_1885	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://example.org/cosine_index_between_medaka_and_ordo
