s	p	o
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000008054
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000008054
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000008054
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000008054
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000006533
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000006533
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000006533
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000006533
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000025002
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000025002
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000025002
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000025002
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000013460
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000013460
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000013460
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000013460
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000010725
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000010725
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000010725
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000010725
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000009503
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000009503
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000009503
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000009503
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000010055
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000010050
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000010050
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000010055
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000010050
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000010055
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000010050
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000010055
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000011135
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000011135
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000011135
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000011135
