s	p	o
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/51151
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/51151
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:51151
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/51151
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/168507
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/168507
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:168507
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/168507
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/79659
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/79659
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:79659
http://lod.nbrp/Medaka/MT169	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/79659
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/8646
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/8646
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:8646
http://lod.nbrp/Medaka/MT170	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/8646
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7545
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/7545
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/7545
http://lod.nbrp/Medaka/MT20	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:7545
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7862
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/7862
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:7862
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/7862
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/1896
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/1896
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:1896
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/1896
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/9871
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:9871
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/9871
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/9871
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/4602
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/4602
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:4602
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/4602
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/210
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:210
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/210
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/210
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/8295
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/8295
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:8295
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/8295
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/10413
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/10413
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:10413
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/10413
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/8295
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/8295
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:8295
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/8295
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7299
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/7299
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:7299
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/7299
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/51151
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/51151
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:51151
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/51151
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7299
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/7299
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:7299
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/7299
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7299
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/7299
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:7299
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/7299
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/6660
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:6660
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/6660
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/6660
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7157
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:7157
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/7157
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	http://purl.uniprot.org/geneid/7157
http://lod.nbrp/Medaka/MT894	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/7157
