s	p	o
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101159023
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101159023
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101159023
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/slc2a11b-201
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/slc2a11b-202
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:slc2a11b-201
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:slc2a11b-202
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/slc2a11b-201
http://lod.nbrp/Medaka/MT104	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/slc2a11b-202
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049347
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049347
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049347
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/slc45a2-201
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:slc45a2-201
http://lod.nbrp/Medaka/MT13	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/slc45a2-201
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100820713
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100820713
http://lod.nbrp/Medaka/MT144	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100820713
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049402
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049402
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049402
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/smtla-201
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/smtla-202
http://lod.nbrp/Medaka/MT15	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:smtla-201
