s	p	o
http://lod.nbrp/Medaka/MT104	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002438
http://lod.nbrp/Medaka/MT104	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005882
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000402
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002812
http://lod.nbrp/Medaka/MT13	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002824
http://lod.nbrp/Medaka/MT144	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002923
http://lod.nbrp/Medaka/MT144	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006382
http://lod.nbrp/Medaka/MT144	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0010079
http://lod.nbrp/Medaka/MT15	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002435
http://lod.nbrp/Medaka/MT15	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003317
http://lod.nbrp/Medaka/MT15	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006157
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000013
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000861
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001207
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002347
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002408
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002923
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT169	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006382
http://lod.nbrp/Medaka/MT170	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000043
http://lod.nbrp/Medaka/MT170	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000054
http://lod.nbrp/Medaka/MT170	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000356
