ensembl_id,ncbigene_id
ENSORLG00000000002,101169339
ENSORLG00000000003,101158745
ENSORLG00000000005,101165867
ENSORLG00000000006,101155409
ENSORLG00000000007,101158994
ENSORLG00000000008,101166111
ENSORLG00000000009,101159485
ENSORLG00000000010,101155666
ENSORLG00000000011,101156874
ENSORLG00000000013,101159722
ENSORLG00000000021,101156150
ENSORLG00000000024,101169837
ENSORLG00000000025,101156391
ENSORLG00000000026,101170075
ENSORLG00000000027,101160709
ENSORLG00000000029,101157600
ENSORLG00000000030,101166362
ENSORLG00000000031,101156301
ENSORLG00000000034,101157843
ENSORLG00000000036,101161214
ENSORLG00000000039,101161460
ENSORLG00000000040,101170570
ENSORLG00000000041,101157762
ENSORLG00000000043,101156553
ENSORLG00000000044,105356745
ENSORLG00000000045,101158337
ENSORLG00000000046,101166777
ENSORLG00000000049,101158007
ENSORLG00000000050,101171058
ENSORLG00000000052,101167020
ENSORLG00000000053,101172149
ENSORLG00000000054,101158834
ENSORLG00000000057,101159081
ENSORLG00000000058,101159329
ENSORLG00000000059,101167429
ENSORLG00000000060,101159565
ENSORLG00000000061,101171554
ENSORLG00000000062,101156795
ENSORLG00000000063,101171807
ENSORLG00000000064,101162186
ENSORLG00000000065,101159803
ENSORLG00000000066,101167684
ENSORLG00000000068,101167934
ENSORLG00000000069,101157032
ENSORLG00000000070,101160540
ENSORLG00000000072,101163396
ENSORLG00000000073,101158262
ENSORLG00000000074,101163644
ENSORLG00000000075,101162657
ENSORLG00000000076,101163884
ENSORLG00000000077,101164137
ENSORLG00000000078,105356798
ENSORLG00000000079,101172057
ENSORLG00000000080,101162898
ENSORLG00000000081,101157510
ENSORLG00000000083,101157913
ENSORLG00000000084,101161225
ENSORLG00000000085,101158165
ENSORLG00000000086,101161471
ENSORLG00000000087,101172398
ENSORLG00000000088,101164385
ENSORLG00000000089,105358319
ENSORLG00000000091,101172311
ENSORLG00000000092,111946846
ENSORLG00000000093,101172966
ENSORLG00000000094,101163384
ENSORLG00000000095,101172560
ENSORLG00000000097,101164629
ENSORLG00000000098,101172796
ENSORLG00000000099,100049489
ENSORLG00000000100,101165132
ENSORLG00000000101,101173210
ENSORLG00000000102,101163633
ENSORLG00000000103,101173285
ENSORLG00000000104,101173530
ENSORLG00000000105,101158512
ENSORLG00000000106,101158663
ENSORLG00000000107,101165380
ENSORLG00000000108,101173770
ENSORLG00000000109,101173691
ENSORLG00000000110,101159003
ENSORLG00000000111,101158915
ENSORLG00000000116,101165871
ENSORLG00000000117,101174249
ENSORLG00000000118,101173925
ENSORLG00000000119,101159163
ENSORLG00000000122,101164374
ENSORLG00000000123,101162272
ENSORLG00000000125,101168436
ENSORLG00000000128,101159252
ENSORLG00000000130,101159640
ENSORLG00000000133,101174487
ENSORLG00000000135,101174729
ENSORLG00000000136,101159887
ENSORLG00000000137,100049228
ENSORLG00000000138,101159495
ENSORLG00000000140,101169093
ENSORLG00000000144,101175222
ENSORLG00000000145,101166470
ENSORLG00000000146,101160289
ENSORLG00000000147,101167028
ENSORLG00000000149,101162510
ENSORLG00000000151,101175464
ENSORLG00000000152,101174172
ENSORLG00000000153,101175479
ENSORLG00000000154,101167528
ENSORLG00000000155,101166713
ENSORLG00000000158,101174412
ENSORLG00000000160,101169358
ENSORLG00000000162,101154761
ENSORLG00000000164,101169605
ENSORLG00000000171,101174654
ENSORLG00000000174,101166367
ENSORLG00000000178,101166611
ENSORLG00000000179,101174901
ENSORLG00000000180,101168189
ENSORLG00000000181,101154777
ENSORLG00000000182,101165226
ENSORLG00000000184,101173461
ENSORLG00000000187,101175142
ENSORLG00000000189,101167710
ENSORLG00000000190,101162455
ENSORLG00000000198,101162265
ENSORLG00000000200,101168462
ENSORLG00000000201,101162689
ENSORLG00000000203,101168441
ENSORLG00000000204,101168711
ENSORLG00000000207,101169952
ENSORLG00000000208,101169854
ENSORLG00000000212,101162980
ENSORLG00000000214,101162932
ENSORLG00000000216,101163576
ENSORLG00000000217,101169209
ENSORLG00000000218,101167290
ENSORLG00000000219,100144388
ENSORLG00000000220,100049315
ENSORLG00000000222,101169460
ENSORLG00000000223,101166957
ENSORLG00000000224,105358650
ENSORLG00000000225,101159649
ENSORLG00000000227,101158508
ENSORLG00000000228,101169206
ENSORLG00000000229,101165471
ENSORLG00000000230,101163665
ENSORLG00000000232,101173700
ENSORLG00000000234,101159981
ENSORLG00000000239,100049316
ENSORLG00000000240,101166604
ENSORLG00000000242,101156657
ENSORLG00000000244,101155028
ENSORLG00000000246,101170191
ENSORLG00000000248,101167780
ENSORLG00000000249,101173933
ENSORLG00000000251,101175633
ENSORLG00000000255,101175384
ENSORLG00000000256,101156896
ENSORLG00000000258,101168032
ENSORLG00000000259,101164069
ENSORLG00000000260,101160227
ENSORLG00000000264,101167450
ENSORLG00000000265,101157946
ENSORLG00000000267,101170091
ENSORLG00000000268,101170679
ENSORLG00000000269,101165971
ENSORLG00000000271,101167703
ENSORLG00000000273,101175094
